"Nume_actiune","Timestamp"
"Afisare produse cereale","22 05 2022 16:20:09"
"Stergere produs lactat","22 05 2022 20:24:03"
"Stergere produs lactat","22 05 2022 20:30:30"
"Stergere produs lactat","22 05 2022 20:31:19"
"Afisare produse lactate","22 05 2022 20:31:28"
"Afisare produse lactate","22 05 2022 20:32:09"
"Afisare produse lactate","22 05 2022 20:34:55"
"Afisarea fructelor si legumelor","22 05 2022 20:44:03"
"Afisarea fructelor si legumelor","22 05 2022 20:45:21"
"Afisare produse lactate","22 05 2022 20:45:27"
"Afisarea fructelor si legumelor","22 05 2022 20:47:25"
"Stergere produs din categoria fructe si legume","22 05 2022 20:48:27"
"Afisarea fructelor si legumelor","22 05 2022 20:51:32"
"Adaugare fruct sau leguma in baza de date","22 05 2022 20:53:26"
"Afisarea fructelor si legumelor","22 05 2022 20:53:29"
"Afisare produse lactate","22 05 2022 20:54:10"
"Adaugare produs lactat in baza de date","22 05 2022 20:54:31"
"Adaugare produs lactat in baza de date","22 05 2022 20:55:37"
"Afisare produse lactate","22 05 2022 20:55:43"
"Afisarea tuturor produselor","22 05 2022 20:55:48"
"Afisare produse lactate","22 05 2022 21:08:15"
"Afisare produse lactate","22 05 2022 21:08:40"
"Afisare produse lactate","22 05 2022 21:09:03"
"Afisare produse lactate","22 05 2022 21:10:35"
"Afisare produse lactate","22 05 2022 21:11:46"
"Stergere produs lactat","22 05 2022 21:12:05"
"Afisare produse lactate","22 05 2022 21:12:20"
"Afisare produse cereale","22 05 2022 21:16:30"
"Stergere produs din categoria cereale","22 05 2022 21:18:26"
"Afisare produse cereale","22 05 2022 21:18:32"
"Adaugare produs lactat in baza de date","22 05 2022 21:42:10"
"Afisare produse lactate","22 05 2022 21:42:29"
"Update produs din categoria lactate","22 05 2022 21:43:03"
"Afisare produse lactate","22 05 2022 21:43:09"
"Update produs din categoria lactate","22 05 2022 21:44:16"
"Afisare produse lactate","22 05 2022 21:44:17"
"Afisarea fructelor si legumelor","22 05 2022 21:57:39"
"Update produs din categoria fructe si legume","22 05 2022 21:58:09"
"Afisarea tuturor produselor","22 05 2022 21:58:11"
"Afisarea tuturor produselor","22 05 2022 22:00:51"
"Adaugare cereale in baza de date","22 05 2022 22:01:15"
"Afisarea tuturor produselor","22 05 2022 22:01:18"
"Afisarea tuturor produselor","22 05 2022 22:02:55"
"Update produs din categoria cereale","22 05 2022 22:03:48"
"Update produs din categoria cereale","22 05 2022 22:05:33"
"Afisarea tuturor produselor","22 05 2022 22:06:21"
"Update produs din categoria cereale","22 05 2022 22:06:35"
"Afisarea tuturor produselor","22 05 2022 22:06:52"
"Update produs din categoria cereale","22 05 2022 22:07:37"
"Afisarea tuturor produselor","22 05 2022 22:07:39"
"Afisarea tuturor produselor","23 05 2022 16:21:16"
"Afisarea tuturor produselor","23 05 2022 16:22:49"
